,scoring,market,purchasing_date,review_title,review_content
9,100점,롯데하이마트,2024.10.16.,"
아이폰은 역시 화이트 입니다! 진
",아이폰은 역시 화이트 입니다! 진짜 실물 깡패예요~ ㅎㅎㅎ예약 판매 때 저렴하게 잘 구매 했어요~^^
0,100점,11번가,2024.11.11.,"
최고예요
",슈팅배송 빠르네요 15플러스 쓰다가 무거워서 16일반 으로 바꾸길 잘했어요 너무 가볍네요 ㅎ 일반 화이트는 처음인데 이쁘네요 이번엔 오래 사용할께요^^
1,100점,11번가,2024.10.04.,"
최고예요
",배송기한보다 더 빠르게 도착해서 기뻐요! 아이폰13미니 배터리 효율 문제로 갈아탔는데 이번에는 오래 쓰고 싶네요 ㅎㅎㅎ
2,100점,11번가,2024.10.09.,"
최고예요
",예정일보다 훨씬 일찍 왔어요.컬러도 성능도 너무 좋아요.
3,100점,11번가,2024.10.29.,"
최고예요
",지플립쓰다가 버벅거림과 카메라 배터리 이슈로기변
4,100점,11번가,2024.09.28.,"
최고예요
",9/22 3차 예약으로 구매한 아이폰16 256gb9/28 오후 5시 정도에 받았습니다!빠르게 배송와서 너무 행복해요 !!!
5,100점,11번가,2024.11.02.,"
최고예요
",슈팅배송 정말 빨라요  하루만에 오다니 ㅋㅋㅋㅋ안전하게 잘 와서 사용중입니다11번가에서 아이폰 처음사는데 만족합니다
6,100점,롯데하이마트,2024.09.24.,"
너무 좋아요12프맥에서 4년 존버
",너무 좋아요12프맥에서 4년 존버 후 기변했는데 진짜 가볍고 이쁘네요 너무 만족합니다
7,100점,11번가,2024.12.01.,"
최고예요
",빠른배송 꼼꼼한 포장 아주 만족해요!!
8,100점,롯데하이마트,2024.09.22.,"
핑크색 완전 맘에 들어요 무게도
",핑크색 완전 맘에 들어요 무게도 가볍고 카메라버튼도 좋네요~~
9,100점,롯데하이마트,2024.09.25.,"
애플케어가 너무 만족스러운 가격
",애플케어가 너무 만족스러운 가격이었어요. 제품도 양품이었습니다
0,100점,11번가,2024.10.31.,"
최고예요
",자급제 중에 간편한데다가 할부가 제일 많이 들어가서 구매했습니다. 완충 포장 잘 되어서 오고 양품이었어요!
1,100점,11번가,2024.12.11.,"
최고예요
",가격은 타 사이트랑 비슷한데 11번가 신한카드 일시불로 구매함 적립금이 있어서 구매했어요~^^
2,100점,11번가,2024.10.05.,"
최고예요
",1차예약 겨우 성공해서 배송도 예정일에 바로 왔어요. 정말 너무 만족스럽습니다 걱정 많이했는데 파손 이런거 하나 없이 안전하게 배송되었어요
3,100점,롯데하이마트,2024.09.21.,"
배송도 빠르고 이상없이 안전하게
",배송도 빠르고 이상없이 안전하게 도착했어요아이폰 16일반모델 매우 가볍고 빠르네요
4,80점,롯데하이마트,2024.10.17.,"
아이폰14를 사용하다가 16으로 바
",아이폰14를 사용하다가 16으로 바꿨습니다.체감상 크게 바뀐건 없네요.다만 용량을 128을 쓰다가 256을 쓰니 용량으로 마음이 조마한 일은없어서 좋습니다.
5,100점,11번가,2024.11.01.,"
최고예요
",핑크만 남아서 핑크만 삿더니 케이스 뭘끼워도 안이뻐요 ㅠㅠ 어케든 화이트 사세요..
6,100점,11번가,2024.11.01.,"
최고예요
",아이폰 3년만에 바꿔서 기분 좋네요 배송 아주 빠르고 적립금때문에 여기서 구매했는데 후회없는 선택이에요!! ㅎㅎㅎ
